0,31467 0,141176
0,479283 0,305882
0,369541 0,176471
0,44009 0,258824
0,25196 0,105882
0,197088 0,0705882
0,861142 0,717647
0,592385 0,435294
0,830907 0,670588
0,881299 0,741176
0,745801 0,588235
0,791713 0,623529
0,521837 0,352941
0,132139 0,0235294
0,708847 0,541176
0,679731 0,517647
0,18701 0,0588235
0,883539 0,764706
0,977604 0,952941
0,920493 0,788235
0,950728 0,835294
0,973124 0,882353
1 1
0,258679 0,117647
0,835386 0,705882
0,646137 0,505882
0,482643 0,341176
0,730123 0,576471
0,307951 0,129412
0,408735 0,223529
0,553191 0,411765
0,547592 0,388235
0,395297 0,211765
0,639418 0,447059
